Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
11/15/19,Mortgage,Conventional home mortgage,Closing on a mortgage,,"We have already tried to contact the company with the following complaint 3 times using different avenues. In the most recent email sent, we requested that they contact us to at least acknowledge that the complaint was received. We have gotten no responses since the complaint was first filed three weeks ago. The text of the submitted complaint follows. 

To whom it may concern : We are writing to submit a formal complaint regarding the poor service that we received while working with 3434 3434 3434/Closing Mark Home Loan. We are strongly considering submitting a formal complaint to the  Consumer Financial Protection Bureau and any similar state agency in Colorado and/or California, as we feel that there were instances that pushed the boundaries of acceptable and, possible, legal behavior. 
The entire loan process with this company, from start to finish, has been unprofessional at best to downright deceptive and, potentially, life-impacting. We have been forgotten, lied to, and put into stressful situations that, frankly, should never happen. We have been through multiple account officers and underwriters, been asked to submit documents multiple times, been told falsehoods, and, upon completing closing on 34/34/3434, we received letters that appeared to be informing us that we had been denied for the loan that we closed on. 
The following is a summarized narrative of the timeline from starting the prequalification process to closing on the mortgage. This timeline has been compiled based upon timestamped communication ( both written and digital ). 
We started this journey in 34/34/2019, upon starting the prequalification process. We submitted the requested information to 3434 3434 3434 ( herein after 3434 )  and promptly received a response on 34/34/3434. At that time, we received an initial workbook which showed us the expected loan amount, down payment amount, fees, etc. The individual that we started with was extremely responsive and helpful, answering any of our questions promptly and clearly. 
We toured the community and decided that it was a good fit for us. At that time, we were given the option of looking for outside financing options or pursuing financing with the related company, 3434 ; the related financing came with builder incentives. At no point were we pressured by the sales team at 3434 to go with 3434. However, as we had already started the prequalification process ( and the subsequent hard hit to our credit scores ) and because of the very good service we had received to date, as well as the healthy builder incentive, we signed the sales contract with the commitment to pursue the mortgage through 3434. The contract was completed on 34/34/3434, following a discussion with both the sales team at 3434 and the 3434 representative. 
On 34/34/3434 ( a Saturday ), we reached out to the 3434 representative to see what the next financing steps would be, as the sales team indicated that the mortgage company would reach out to us. The next day ( a Sunday ), the 3434 representative informed us that he would be running an automated approval and would reach out if he needed additional documents. We took this to mean that our application was complete enough to start the clock and was in process. At this point, we had not been told that additional documents would be required to complete our application, just that there may be a need for additional documentation. 
We did not hear back from the 3434 representative after that point. On 34/34/3434 ( a Saturday, nearly two full calendar weeks from last contact ), we reached out to the 3434 representative again. By 34/34/3434 ( Wednesday ), we emailed the 3434 sales team for assistance ; they referred us to the president of the mortgage company. We were informed, by the president of the company, that the 3434 representative that had been handling our application had abruptly left 3434 and that our application had not been passed onto another case manager/loan officer. By that time, our required loan approval date had passed ; this date was stipulated in our sales contract. 
We were connected with a new 3434 representative ( herein after referred to as new 3434 representative or loan officer ) who informed us via email that our application was incomplete and that nothing had been processed in the intervening time. Again, we had been under the impression that our application was complete and in process since mid-3434. At that point, again, nearly two weeks had passed, and we did not receive a formal notification of incompleteness. 
During the subsequent document collection period, the loan officer asked we could put down another half percent, which would increase our down payment to 3.5 % of the sales price. We agreed that we could afford the extra 0.5 %, but asked if she was considering an FHA loan. She informed us that she was looking at that option. At that point, we stated that we did not want to pursue an FHA loan, but said that we would consider it if we could see all the financing options that she could offer us. We asked that we be provided with a worksheet showing all the offerings that we could qualify for, so that we could pick the option that best matched our needs. We never received a product comparison worksheet despite the written request. Additionally, we did not receive an updated worksheet showing our expected costs at this time. 

Subsequently, as we were loading additional documents into the 3434 portal when we noticed that we had a loan details section available. We opened that section of the webpage and saw that our loan had been started under an FHA program, despite the fact that we had told our loan officer that we did not want an FHA loan and despite the fact that we had not been given a worksheet showing our product options. We communicated to the loan officer that we emphatically did not want the FHA loan, as the fees associated with the loan would negate any benefit from going with 3434, based upon the builder incentives. Additionally, both of us have strong credit scores and did not need the credit support to qualify for a mortgage. Instead of giving us a workbook showing us our different financing options, the loan officer changed the product type for the mortgage to a 3434  3434  conventional loan. Again, at no point were we allowed to select our product type ( or informed that 3434 only offered a limited product selection ). We were not given the information needed to make an informed decision. 

On 34/34/3434, we received the first set of loan disclosure documents ; we were not talked through our product choices at this point. We promptly signed the loan disclosures, after saving a copy and reviewing in detail. At this point, we received our first estimate ( aside from the prequalification estimate provided in 3434 ) that showed our expected loan costs, rate, fees, etc. This information was not provided ahead of time and we were informed that we had only 72 hours to sign the documents. We were not given options on product type or any other factor. Additionally, we were not offered any assistance in understanding the documents that we were given or any help working through the legalese. 

It should be noted that we were informed, only by the disclosures, that the PMI would not be cancellable due to rising home values. At the outset, the original 3434  representative implied ( though, notably, did not explicitly state ), that the home could be reappraised after a period of time and the new value used for the LTV calculation. Under the subsequent disclosures, it was apparent that the PMI could only cancellable via loan payments compared to the original appraised value at closing. While not a major issue, it is notable because it is contradictory to information that we had at outset. 

On 34/34/3434, we received an automated email informing us that we had updated disclosures to sign. The email did not indicate what the changes were, nor did the loan officer notify us at any point that changes had been made. Upon reviewing the disclosures, the changes were the addition of a TILA form ( that we did not receive in our original packet ), an additional {$200.00} fee, and the removal of our {$5000.00} earnest money deposit. As a result, our updated disclosures indicated that we would owe an additional {$5000.00} in cash for our down payment at closing.

We reached out the same date to the loan officer and received a response that equated to her not knowing what was going on. Upon further research, she informed us that she wasnt sure why the earnest money deposit was removed and that she would make sure that we would get updated documents showing the amount. We were told to be confident that the credit would be given at closing. 

On 34/34/3434, we were introduced via email to a loan processor ( herein after loan processor or underwriter ; this introduction came directly from the loan processor and the loan officer was not involved in the introduction. At this time, the loan processor stated that our loan was conditionally approved, dependent upon two document lists. One list was to be provided as soon as possible, while the other was due within 60 days of closing. At this point, we were at about a month and a half out from the point at which we had been originally led to believe that our application was complete.

Many of the documents requested at this time had already been submitted as part of our original loan package or the subsequent package initiated by the loan officer. We had to resend many of the documents and enter them onto an online portal. 

It should be noted, at this point, we sent images ( pictures ) of several of the documents to the loan processor. This was not an issue and she did not request that the documents be scanned or otherwise in a different format. 

On 34/34/3434, we began reaching out to the loan officer to get information for the mortgagee clause, as our insurance agent was requesting it before he could start the formal application and estimate process on his side. The next day, we were informed that a new loan processor ( different from the current underwriter ) would provide that information to our agent. 

On 34/34/3434, we reached out to the loan processor, as we had not heard from her since we submitted our documents ( largely completed in 3434 ). On 34/34/3434, she responded and said that she received all our documents that that everything looks good at this time. She said that she would reach out closer to closing, but did not state why. 

On 34/34/3434, we received an email from the loan officer informing us that 3434 had acquired Closing Mark Home Loans ( herein after CMHL ) and that our mortgage application would be acquired by CMHL. The email stated that our mortgage would be redisclosed and that we would need to sign updated disclosures. 

On 34/34/3434, we received a notification from CMHL stating that the 3434 mortgage application had been migrated to the new platform. We received new loan disclosures at that time. 

The 34/34/3434 letter informed us that we would be receiving an updated conditional approval. This is a month after we had originally been conditionally approved. The loan officer did not reach out to explain that a new application had been started on the new platform, hence the approval process was started over entirely. The document informed us that our application was started 34/34/3434, though it was not explicitly made clear that it was a completely new loan application and not just a formality due to the new system. 

On 34/34/3434, we received the formal scheduling request for closing, via Closing Mark Settlement Services. While this was scheduled, we had not yet received a formal approval, final disclosures, or closing instructions. 

On 34/34/3434, we received 3 options for the interest rate lock. The option sheet was sent only with instructions to look at Options 1, 2 and 3, with no explanation for the calculations, differences, or any other factors. Upon reviewing them, the only option that we could follow the math on was Option 3. Given the previous difficulties in obtaining information from the loan officer, we decided to lock on the option that we could follow. Based on our math, the other two options did not appear to conform to standard amortization at the listed interest rates, but, again, we could not follow the math. 

On 34/34/3434, we received our updated disclosures for the interest rate lock. This disclosure, like previous disclosures, did not have any charge for points. 

On 34/34/3434, we received an email from the president of the mortgage company. This email informed us that 3434 was legally required to close out the application and that we would soon be receiving a notice from 3434  that would show that 3434  no longer had an active application in the system for us ; the email stated that the communication that we would receive could include language stated that the application was denied, but that it would not impact our ongoing application with CMHL. 

On 34/34/3434, we received a Changed Circumstance letter. This letter added a {$770.00} fee, amounting to 0.25 % of the loan amount, as points, as part of the origination costs. This fee was not explained to us. The letter stated that it was due to the credit report/credit score and credit report/mortgage insurance. 

On 34/34/3434, we received an email titled 3434/3434 3434 3434 Conditional Loan Approval. This email included a list of new documents to provide, including new disclosures, new bank statements, new paystubs, insurance quote, and college transcripts. It should be noted that we were told, in the body of the email, that the documents needed to be provided asap. At this point, we were not offered a secure way to send our documents. We could email them back to the loan processor directly or fax them. 

At this point, we were also informed that we could not send pictures of documents to the loan processor, despite having been able to send images previously. While navigable, this put a fair amount of undue pressure on us, as we had to find a way to scan our documents to be able to send them via email. We also found that we had a significant amount of pressure from the loan processor to provide the documents quickly On 34/34/3434, we received disclosures to sign. On 34/34/3434, we emailed the loan officer and asked if the disclosures were the final set and if the listed cash to close amount was the amount we needed to get our cashiers check for closing. We were informed that the disclosures given were the final set. 

The 34/34/3434 documents additionally included a waiver for the receipt of the appraisal within the timing required by ECOA section 1002.14 ( a ) ( 1 ). 

On 34/34/3434, we received the appraisal on the property. This property appraisal had been completed on 34/34/3434. 

On 34/34/3434, we emailed our loan officer to ask about what name to put on the cashiers check for closing, as we never received closing instructions. While this email was sent on a Saturday, we had previously received prompt responses from all parties, even on weekends. We had no reason to believe that we would not hear back prior to closing on 34/34/3434. 

We received no further communication from the mortgage company, nor any of its agents, prior to closing. 

On 34/34/3434, we closed on the mortgage. Our appointment to close was at 3434. We arrived at approximately 3434, as our previous meeting for the day had ended more quickly than expected. We were prepared to wait until 3434. Our closing agent came out at around 3434 and told us that our application had not yet been approved by CMHL and that she was, as a result, still, waiting for documents. She also informed us that she had not yet received the final closing disclosure and that, as a result, our cash to close amount had not yet ben finalized. 

At about 3434, our closing agent informed us that she had received several closing disclosures for our application that day. She then stated that the final closing amount had been set by CMHL, as she had confirmed the most recent disclosure with the wire processor. We were short on our original check ( which was stated as the final amount, as previously noted ) and were forced to go back to our bank. We had to come up with about {$800.00} on the spot to be able to close. At this point, our closing documents were not yet available. 

We signed our documents at our 3434 PM on 34/34/3434. We waited at the settlement office until nearly 3434 3434 for the final wire to be sent by the processing agent. We were given no explanation for the significant wait. 

After closing, we returned to our then-current residence for the night. We checked our mail. We found two letters which were mailed to us ( one for each of us ), which stated that our loan had been denied. The letters were dated 34/34/3434, but had not been mailed and post-marked until 34/34/3434. These letters were related to the hand-off from 3434 to CMHL. As previously noted, we had been told in 3434 that we may receive a formal denial letter, due to the new application being opened. As given by the discrepancy between the letter and postmark dates, it appears that these letters were held back for some reason. The reason was not given to us at any point in the application process. 

The following day, 34/34/3434, we received an email from our loan officer apologizing for the delay in response to our question regarding our closing and a statement that she hoped our closing went okay. No comments were included regarding the fact that our loan had not been approved for the day of closing. We did not respond. 

In summary, the entire process was fraught and full of miscommunications and a lack of communication. Our grievances are summarized below : Our application was forgotten by the mortgage company, as the original representative left and nobody picked up his caseload. 
Our application was implied to have been complete and in process with the original representative. 
o At no point did we receive a formal notice of incompleteness, despite ongoing requests for information over several months. 
o We were not given a complete checklist of all the information that we would need to provide throughout the life of the application and approval process. 
We were not given product comparisons between available options, despite multiple requests for such information. 
We were originally put into a product type that we explicitly stated that we did not want. 
o While we do not know the details of the 3434/CMHL compensation structure, we have been informed by multiple individuals from outside financial institutions that FHA loans often generate a larger incentive fee for the loan officer. We believe that this could be the reason for the initial assignment.

We were given contradictory information throughout the process. This includes receiving documents which did not include {$5000.00} in cash we had already paid ; while this was resolved, this issue was never explained to us.

We were not given explanations for multiple adjustments and changes to fees and amounts through out the process.

o Our loan officer did not make any attempt to explain any of the forms, procedures, or documents that we received. We were forced to make our best attempt at understanding the files that we had to sign. 
o When setting our rate lock, the loan officer did not explain the difference between the given options. As previously stated, two of the options did not mathematically calculate to the payments given.

o We are better informed than most consumers, as one of us works for a commercial bank. Even then, we had trouble with some of the documents and it is baffling that we received no guidance from the loan officer.

We were denied a secure way to send documents to the loan processor.

o Additionally, a format which had previously been acceptable for files, was no longer acceptable. We were not given an explanation for this discrepancy. 
We were not given closing instructions. When we reached out for instructions ( admitted at the 11th hour ), we did not receive a response. This is out of line with prior behavior, as we had previously received prompt communication even outside of normal business hours. 
o The response from the lender was given a business day after our closing. It should be noted that this response did not include any of the requested information. 
Our loan was not approved prior to the day of our closing and, in actuality, we had to wait for the application to be approved and for documents to be prepared and sent to our closing agent. 
o While we are not sure of the industry standard for loan approvals and preparation of loan documents for mortgages, it does not seem unreasonable to expect that the process should be completed well prior to the day of closing. 
o This caused a significant amount of personal stress, as our closing agent could not give us an expected timeline. We were left unaware of if we were going to be able to close on our scheduled date or if we would need to be rescheduled. 
This is significant, as we had already made arrangements for our moving process, including cancelling our lease with our prior residence, booking and prepaying for moving equipment, and taking time off from work ( including taking time for the day of closing itself ). 
We received a formal loan denial after our closing, with the denial letters being sent on 34/34/3434. Given that 34/34/3434 was a holiday, it seems likely that the letters were sent so as to not be received until after closing. 
o The letters were dated 34/34/3434, which means that the letters were held back for well over a month. While we are not sure on the required disclosure timelines for consumer loans, we have been informed that it is often 10 days from the decision date. This delivery falls well outside of that window.",,"ClosingMark Financial Services, LLC",CO,80234,Consent provided,Web,11/15/19,Closed with explanation,Yes,N/A,3439091
6/18/20,Credit card or prepaid card,General-purpose credit card or charge card,Problem when making payments,Problem during payment process,,,Synovus Bank,MN,55134,,Web,6/24/20,Closed with explanation,Yes,N/A,3704229
4/4/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,CA,90037,Consent not provided,Web,4/4/19,Closed with non-monetary relief,Yes,N/A,3202249
11/20/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,I would like the credit bureau to correct my 3434 3434 3434 3434 balance. My correct balance is 3434,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,77004,Consent provided,Web,11/20/19,Closed with explanation,Yes,N/A,3444592
9/19/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Personal information incorrect,"MY NAME IS 3434 3434 3434 I live at 3434 3434 3434 3434 3434 SC 3434 My DOB 3434 my SS 3434. I have addresses on my file that are not mine please remove the following addresses : 3434 3434 3434 3434 3434 3434, 3434, OH 3434 3434 3434 3434 3434 3434 3434, 3434, OH 3434 3434 3434 3434 3434 3434, 3434, OH 3434 3434 3434 3434 3434 3434, 3434, NY 3434 3434 3434 3434, 3434, OH 3434 3434 3434 3434, 3434, OH 3434 3434 3434 3434, 3434, OH 3434 3434 3434 3434 , 3434, OH 3434 3434 3434 3434 3434 3434, 3434, OH 3434 3434 3434  3434 3434 3434 3434, 3434, NJ 3434. 
I have attach my proof of ID and address.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",SC,29734,Consent provided,Web,9/19/19,Closed with explanation,Yes,N/A,3379924
9/19/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,"Spoke w 3434 3434 34/34/19 3434 3434 cat at TransUnion. Refused to remove unauthorized inquiries from 3434, 3434 34/34/19, 3434 3434 3434.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",WI,,Consent provided,Web,9/19/19,Closed with explanation,Yes,N/A,3380144
9/19/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,,Other,Web,9/19/19,Closed with explanation,Yes,N/A,3380448
10/24/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"Accounts added and/or created unbeknownst to me Notice to whom it be of concern, It is YOU I hold accountable and accuse of complicity in exercise of malevolent did-compliance. I hereby mark you as likely one that I might one day view in civil discord as the "" would be plaintiffs '', yet I declare to you your unjust claim is to be met with deliberate and determined resistance and counteraction. In is in clarity that your Claim of Non-Medical debt Collection is insufficient for collections much less reporting. You MUST DELETE this unjust injurious allegation because it is significantly deficient of the requisite certified reporting compliance ( such as perfect metro 2 format reporting ) and testimonial evidence of the PHYSICALLY VERIFIABLE PROOF OF VALIDATION as related to the full truth, accuracy, completeness, timeliness, ownership, identity of true debtor, dates, balances, audits, calculations, source codes, creditor collection code, 426-chrc P6 statement and its associated trailing fragments, the minimal five portioned personal identifiers, the pay statuses, the required 386-pieces of confirmation to collection, and elsewise standard or mandatory for proper reporting, mentioned or not. 



Although I am checking for and addressing missing and or deficient aspects of REPORTING COMPLIANCES and not contesting any debt of compliant nature, I should make you aware that since unlawful reporting transitions collection into an equally not complaint circumstance. Being still yet not validated by document fact in compliance to requisite standards, it is to be announced yet again that legally I have no knowledge of the validity of the alleged claims of delinquency and or derogatory nature, nor of the certifiably compliant matter to either any of its collection attempts and or its reporting despite previous consumer filed composed complaints checking for each. Might it be known, especially shall I elect to take this matter up to a civil court, any debt and or derogatory claim must be pursued ( particularly for collection ) in a very defined and precisely compliant and physically verifiable or certifiable manner as detailed in the requisite obeyed federal and state collection and reporting regulations associated with any of the above noted said claim ( s ) to include but not limited to the FCBA, FCRA, HIPAA PRIVACY RULE, FACTA, FDCPA and TCPA, etc. ADDITIONALLY, if an entity acts as a collector and also elects to act as a reporting party of consumer credit they must as well adhere to every single one even each any and all of the regulatory reporting requisites and standards of reporting with legal standing in full accordance of laws and accepted reporting standards. To date, the plaintiff has failed to demonstrate any capacity or willingness to validate the alleged debt much less certify the fair, accurate, complete and compliant reporting of the claims, particularly being significantly deficient is any display of certified metro 2 compliance. As such, given the fact of recent breaches of information collection repositories, I am hesitating to readily accept what is presented without testimonial and certified physically verifiable document evidence of claim as being legitimate. I deny nothing, yet I reserve the right to question any unproven claim. I do NOT accept the statement of claim of the plaintiff and I call for the court to reject their claim as untrue, unverified, incomplete, not compliant or otherwise invalid and thereby reject-able and dischargeable which requirement to be dismissed in full. I demand said court resolution today, even here and now in full accords of regulatory statutes, mentioned by me or not. 


1 ) To date, I have received no knowledge of ever entering into any contractual relationship with the to-be plaintiff ( s ) { should I forward into a civil complaint } or with the entity ( ies ) that allegedly issued against me the defaulted line of credit ( s ) or accusations similar. This despite repeated calls to the accusers to demonstrate the requisite presented physically verifiable document proof of adequately acquired permissible purpose from the exactly and only individual irrefutably identified as being me. I have no acknowledgement of a relationship with the parties mentioned, in any form. 


2 ) I have no knowledge of ever knowingly acknowledging ( or even unknowingly doing so ) that I owe any proven and compliantly reported debt, much less the claim of unproven debt alleged in this written declaration CHECKING for not only VALIDITY of CLAIMS but also DOCUMENT PROOF IN CERTIFIABLE TESTIMONY as to the factual and complete COMPLIANCE to all standards and laws, even the mandatory Metro 2 Format Compliance. Its obvious that the allegations filed by the accusers ( or to-be plaintiff ) are in clear subterfuge of act, be it in willful disregard of ethical practices or be it done so in ignorance of requisite ethical and regulatory compliant behavior during their accusations, collection efforts and credit reporting of claims. The vile nature of their derelict is unjustly injurious and unlawful no doubt. I again call for a dismissal of to-be plaintiffs statement of claim ( s ) and discharge of misreported delinquencies and derogatory behavior that the accusers complaint is undeniably unfairly lodged versus me. 


3 ) I have no knowledge of ever receiving any proven or document facts in statement of account or account aspects for these items of alleged debt and delinquent actions. Again, I reiterate I have called on the accusers to present to be document certifiably true, correct, complete, and adequately compliant documentation in full validation of claims, rights to collect alleged claims, and rights to report alleged claims. Let it be true that COMPLIANCE of regulatory requisites is MANDATORY not OPTIONAL. Plaintiffs claims are mute of legal standing in full accordance of law and must be dismissed. 


4 ) I have no knowledge of ever entering into an open account with to-be Plaintiff ( s ) or with the entity ( ies ) that allegedly issued me the defaulted line of credit ( s ) or derogatory claims of credit. 


5 ) FACT IS, no claim above has even submitted adequate compliant proof of the genesis of any consumer/creditor relationship and their inability to prove application, permissible purpose for said alleged application, consumer/creditor agreement in contract describing a relationship related to alleged claim of account and or debt ( s ), and or otherwise derelict documentation of claim ( s ) inherently makes invalid the to-be Plaintiffs whole statement of claim in this summons or complaint. I request court to resolve adequately and compliantly as required with the immediate eradication of complaint charge ( s ) and rectification of any injurious collection or reporting practices. Again, COMPLIANCE of APPROPRIATE COLLECTION PRACTICES and equally COMPLIANCE of APPROPRIATE and COMPLETE REPORTING PRACTICES is MANDATORY, NOT OPTIONAL. 


6 ) As it stands, until PROVEN OTHERWISE, the complaining to-be Plaintiff ( s ) does so unjustly, unethically, and likely illegally so in absolute deficiency of requisite legal standing in full accordance of applicable laws ( mentioned or not ), both to collection practices and as well with reporting practices, particularly in the inability or unwillingness to timely and fully certify physically verifiable document proof in full validity of debt claim or compliance of reporting, even to the mandatory Metro 2 format. As such, here again I declare my right and preference to stand against all claims of the to-be Plaintiff ( s ) and call on your authority and INTEGRITY to ensure truth of claim, correctness of claim, completeness of claim, ownership and responsibility of any debt ( s ) or delinquencies of debt alleged in above noted claim ( s ), perfect and prove-able compliance of collection actions related to claim ( s ), and compliance of reporting actions related to claim ( s ) ... ... ... ... ... ... ..",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,32734,Consent provided,Web,10/24/19,Closed with explanation,Yes,N/A,3416197
2/20/19,Mortgage,VA mortgage,Trouble during payment process,,"Last year, we had two significant hailstorms, and my house required substantial repairs. My insurance company paid for the repairs but required my mortgage company to co-sign on my check. I sent them three checks valued at : {$1400.00}, {$2800.00}, and {$23000.00}. They withheld 10 % of the total value of my claim ( {$4700.00} ) until the work was 90 % complete. They must inspect all work before they disperse portions of your insurance check. Several of my fellow soldiers on 3434 3434 warned me that this company was taking their money and placing it an interest-bearing account then refusing to disperse the money when the work was complete. 
On 34/34/2019, we contacted LoanCare to get an inspector to my home. They failed to send an inspector for nearly two months and refused to allow me to speak to a supervisor. I've requested an inspector every week since and to talk to a supervisor and they continue to ignore my requests. They typically say, "" it's been escalated, '' or "" there's no supervisor available you one to call in 48 hours '', and "" the vendor hasn't responded. '' Despite my frequent requests, there has been no inspection scheduled, no supervisor has ever contacted me, and the remaining funds have not been released. I need to pay my contractors and shouldn't suffer consequences because of the company 's inability to assign an inspector.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"LoanCare, LLC",CO,80834,Consent provided,Web,2/20/19,Closed with explanation,Yes,N/A,3156629
6/6/19,Mortgage,Conventional home mortgage,Trouble during payment process,,,Company believes it acted appropriately as authorized by contract or law,Ditech Financial LLC,AL,35534,N/A,Phone,6/6/19,Closed with non-monetary relief,Yes,N/A,3266569
11/23/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Personal information incorrect,The credit bureaus are reporting inaccurate/outdated/incomplete personal information.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NC,28034,Consent provided,Web,11/23/19,Closed with explanation,Yes,N/A,3448432
9/19/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Personal information incorrect,The previous addresses reported on my behalf are incorrect.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,76934,Consent provided,Web,9/19/19,Closed with explanation,Yes,N/A,3379049
9/19/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"I am a victim of identity theft. The information listed below, which appears on my credit report, does not relate to any transaction ( s )  that I have made. It is the result of identity theft.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",PA,19134,Consent provided,Web,9/19/19,Closed with explanation,Yes,N/A,3379372
9/23/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"3434 and Transunion are incorrectly reporting a charge-off account where I am shown as an Authorized User on the 3434 partial account number ****3434. ( Please see page attached from my credit report. ) I have already called the bank and let them know that I never gave permission to be added as an Authorized User on this account. This incorrect reporting of me as an authorized user is harming my credit score and this line item needs to be removed from my credit report. I have contacted the two bureaus to fix this issue, however I have not been successful.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,95334,Consent provided,Web,9/23/19,Closed with explanation,Yes,N/A,3383410
4/8/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",OH,43234,Consent not provided,Web,4/8/19,Closed with explanation,Yes,N/A,3205076
4/25/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Was not notified of investigation status or results,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MD,21228,Consent not provided,Web,4/25/19,Closed with explanation,Yes,N/A,3222658
12/21/18,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Old information reappears or never goes away,"All dates on accounts are almost showing present, no one can provide a contract with a ink signature showing I opened or have Any connection to the accounts and the ones are mine are from 2011 and prior far to old to be showing",,"Optimum Outcomes, Inc.",GA,30034,Consent provided,Web,12/21/18,Closed with explanation,Yes,N/A,3107376
5/29/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,,,Southeast Finance Inc.,PA,18045,Consent not provided,Web,5/29/19,Untimely response,No,N/A,3255106
7/30/19,Mortgage,Conventional home mortgage,Trouble during payment process,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"LoanCare, LLC",MI,48178,Consent not provided,Web,7/30/19,Closed with explanation,Yes,N/A,3323588
9/25/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,11553,Consent not provided,Web,9/25/19,Closed with explanation,Yes,N/A,3386496
8/16/19,Debt collection,Medical debt,Written notification about debt,Didn't receive notice of right to dispute,"Re:Commonwealth Financial Systems3434 3434 3434.3434 3434, PA. 34343434They have violated the Fair Debt Collection Practices Act and the Fair Debt Reporting Act and from what they told me, this is their standard business practice. I received my first notice from Commonwealth Financial Systems on or around 34/34/2019. The letter is dated 34/34/2019. The letter states that I have 30 days to dispute the debt and if they do not hear from me within that time, then the debt is considered valid. Well, they reported it to my credit report on 34/34/2019 without ever giving me 30 days to dispute the debt. They have reported debt to my credit report that they have not validated. I called their office and spoke to the supervisor 3434 3434, and she said they report it to the credit bureau within 30 days from the time they receive the debt. This is their standard practice. She said they received the debt 34/34/2019. I would have no way of knowing this without them mailing me a notice, which they did not bother to send until 34/34/2019. They are reporting debt that they have stated they do not even know if it's valid. I do not even know what this debt is. She said she would remove it from my credit report for the next 30-45 days as they are working on validating the debt. They are only supposed to be reporting the debt after the consumer has been given written notice and a chance to dispute the debt. The fact that this is their standard business practice is appalling. Please look into this company. Thank you,3434  3434",,"Commonwealth Financial Systems, Inc.",FL,33434,Consent provided,Web,8/16/19,Closed with explanation,Yes,N/A,3343674
11/23/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"I am a victim of identity theft I have contacted credit bureaus on numerous occasions to have incorrect or outdated personal information removed, however they are refusing to remove the information stating that the item came back validated even though the information is not correct.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NV,,Consent provided,Web,11/23/19,Closed with explanation,Yes,N/A,3448530
